customer_id,city,state,age,num_accounts,total_balance,first_account_date,lifetime_txn_count,lifetime_credits,lifetime_debits,last_transaction_date
dc3dd10b-91ed-4453-89bb-9f624c441030,Houston,Texas,50,2,570049.95,2023-04-21,1996,2459282.71,1972546.49,2025-12-30 13:03:00
d8946376-be1f-48cc-a278-f8b3b967cd77,Grand Rapids,Michigan,54,4,146523.05,2021-08-21,2510,928004.84,782726.15,2025-12-30 18:13:00
83fae1e1-7a78-42d4-81fd-803ebdeedb2d,Naperville,Illinois,28,3,550565.24,2025-03-01,787,1026099.48,484597.25,2025-12-30 14:06:00
24405b2f-c105-4f3f-9aaf-8bc07f4cae9f,Austin,Texas,71,3,513593.05000000005,2023-09-02,2481,1032917.74,519324.69,2025-12-30 15:54:00
3869d8bc-f40c-4f5e-a283-6137c3c35e49,Las Vegas,Nevada,28,2,104109.66,2025-03-06,295,183693.74,79584.08,2025-12-30 16:30:00
980f7c2f-153a-47cf-8597-003573939f9b,Bellevue,Washington,31,3,400473.7,2022-04-26,2355,787329.97,389243.72,2025-12-30 15:25:00
29e1adfa-15e1-4685-bdda-77a76b1b5f67,Spokane,Washington,27,5,890284.43,2024-01-18,853,1400258.42,523374.34,2025-12-30 12:17:00
b4b4b06b-f5f3-40fa-81a6-2d0a89855381,San Francisco,California,72,2,266285.59,2023-03-09,1523,1148627.59,882342.0,2025-12-30 13:15:00
32992fb7-2b62-4f94-bb9b-8a9d8d82db8f,Miami,Florida,20,3,91324.87,2025-04-30,249,119194.14,29029.08,2025-12-30 21:33:00
5145b2a8-b34f-4e20-9e03-27b4793df5f9,Austin,Texas,22,3,308734.27999999997,2020-06-26,8826,2181351.46,1872617.18,2025-12-30 20:06:00
4d023c48-23e3-4783-8fa2-318cb3d43c0d,Austin,Texas,21,4,205832.90000000002,2021-08-05,1943,1018128.24,823377.78,2025-12-29 19:57:00
ab037001-ee92-4756-a5d0-86e775b34910,Orlando,Florida,71,2,561654.47,2023-06-06,1813,897382.78,335728.31,2025-12-30 18:12:00
65423bfc-af9a-4324-b3bb-d7fe6eee7abf,Allentown,Pennsylvania,46,3,259892.43,2021-11-23,2142,923481.15,666639.85,2025-12-30 11:40:00
8ce818f3-74d3-485a-a880-31f78a209152,New York City,New York,19,3,227719.21,2023-08-06,2407,908254.62,695832.7,2025-12-30 21:58:00
42274652-cd72-4dda-b350-134f64209e99,Syracuse,New York,19,5,272688.42,2022-05-28,1507,788068.48,518001.05,2025-12-29 12:47:00
